Center,Status,Case Number,Application SN,Title,Patent Expiration Date
NASA Kennedy Space Center,Application,KSC-12871,"13/033,085",Polyimide Wire Insulation Repair System,
NASA Ames Research Center,Issued,ARC-14048-1,"08/543,093",Autogenic-Feedback Training Exercise Method & System,10 March 2015
NASA Ames Research Center,Issued,ARC-14231-1,"09/017,519",Multimodality Instrument For Tissue Characterization,02 April 2017
NASA Ames Research Center,Issued,ARC-14231-2DIV,"10/874,003",Metrics For Body Sensing System,06/16/2024
NASA Ames Research Center,Issued,ARC-14231-3,"09/652,299",Multimodality Instrument For Tissue Characterization,02 April 2017
NASA Ames Research Center,Issued,ARC-14275-1,"09/226,673",Automated Triangle Geometry Processing For Surface Modeling And Cartesian Grid Generation  (CART3D),12/24/2018
NASA Ames Research Center,Issued,ARC-14281-1,"09/374,491",Aerodynamic Design Using Neural Networks,08/13/2019
NASA Ames Research Center,Issued,ARC-14281-3,"10/637,087",Method For Constructing Composite Response Surfaces By Combining Neural Networks With Polynomial Interpolation Or Estimation Techniques,11/18/2020
NASA Ames Research Center,Issued,ARC-14359-1,"09/498,123",A Direct-To Controller Tool (A Component Of The CTAS Software Suite),02 February 2020
NASA Ames Research Center,Issued,ARC-14494-1,"09/606,107",Bio-Electric Keyboard/Mouse/Joystick Interface Software/Algorithm,06/13/2020
NASA Ames Research Center,Issued,ARC-14512-1,"09/800,309",Keyword-in-context Search Method And Software For Information Retrieval From Collections Of Text Documents (Quorum/Perilog),03 February 2021
NASA Ames Research Center,Issued,ARC-14513-1,"09/800,311",Model-based Phrase Search Method And Software For Information Retrieval From Collections Of Text Documents (Quorum/Perilog),09/14/2021
NASA Ames Research Center,Issued,ARC-14514-1,"09/800,313",Method And Software For Using Implicit Phrase Models To Generate Prominent Phrases Contained In Collections Of Text Documents (Quorum/Perilog),03 February 2021
NASA Ames Research Center,Issued,ARC-14515-1,"09/800,310",Method And Software For Extracting And Distilling Topically And Situationally Relevant Phrases From Collections Of Text Documents (Quorum/Perilog),07/26/2021
NASA Ames Research Center,Issued,ARC-14556-1,09/822470,Spatially-modulated Auditory Alert Having Enhanced Detection,08/24/2022
NASA Ames Research Center,Issued,ARC-14569-1,"11/045,041",Spatial Standard Observer,03/26/2028
NASA Ames Research Center,Issued,ARC-14569-2,"12/807,375",Spatial Standard Observer,01/24/2025
NASA Ames Research Center,Issued,ARC-14586-1DIV,"11/274,744",A Hybrid Neural Network And Support Vector Machine Method For Optimization,01 July 2022
NASA Ames Research Center,Issued,ARC-14613-1,"10/099,247",A Novel Technique That Allows For The Deposition And Patterning Of A Catalyst Onto A Surface For The Growth Of Single-Walled Carbon Nanotubes,11/30/2019
NASA Ames Research Center,Issued,ARC-14652-1,"10/956,517",3D Laser Scanner,03/25/2026
NASA Ames Research Center,Issued,ARC-14653-1,"10/914,783",Future ATM (Air Traffic Management) Concepts Evaluation Tool (FACET),07/30/2024
NASA Ames Research Center,Issued,ARC-14653-2,"12/694,966",Future ATM (Air Traffic Management) Concepts Evaluation Tool (FACET),07/30/2024
NASA Ames Research Center,Issued,ARC-14661-1,"10/320,698",A Plasma Apparatus And Process For Functionalization Of Carbon Nanotubes,12/13/2022
NASA Ames Research Center,Issued,ARC-14661-2,"10/828,524",Improved Functionalization Of Carbon Nanotubes,12/13/2022
NASA Ames Research Center,Issued,ARC-14661-3,"11/387,503",Selective Functionalization Of Carbon Nanotubes Based Upon Distance Traveled,11 May 2025
NASA Ames Research Center,Issued,ARC-14662-1,"10/232,975",Advanced XML Database Integration Technique For Managing Unstructured Documents (NETMARK) (Part of NTTS Suite),07/18/2023
NASA Ames Research Center,Issued,ARC-14682-2,"10/885,533",Communication Using VCSEL Laser Array,11 March 2023
NASA Ames Research Center,Issued,ARC-14710-1,"10/706,478",Elimination Of Parameter Input Requirement For Elliptic Grid Generation Methods In Engineering,03 November 2025
NASA Ames Research Center,Issued,ARC-14733-1,"10/135,013",An Environmentally Compatible Method To Purify Carbon Nanotubes,01 March 2023
NASA Ames Research Center,Issued,ARC-14743-1,10/758611,High-Efficiency Tantalum-Based Ceramics (HETC),01/14/2024
NASA Armstrong Flight Research Center,Issued,DRC-008-014,"12/45,970",IMPROVED RAM BOOSTER,03 November 2028
NASA Ames Research Center,Issued,ARC-14744-1US,"10/494,853",Ordered Biological Nanostructures Formed From Chaperonin Polypeptides,05 June 2024
